Datum Check # Beschrijving Bedrag
01/04/2021 7777 Transactie1 150.43
01/05/2022 null Transactie2 700.25
01/06/2022 null Transactie3 -1303.97
01/07/2022 null Transactie4 46.78
01/08/2022 null Transactie5 816.87
01/11/2022 1934 Transactie6 -1002.53
01/12/2022 7307 Transactie7 532.22
13/01/2022 1352 Transactie8 -704.59
14/01/2022 null Transactie9 98.04
15/01/2022 null Transactie10 -204.56
25/01/2022 null Transactie11 1056.27
26/01/2022 null Transactie12 550.10
27/01/2022 null Transactie13 -825.77
28/01/2022 4250 Transactie14 212.68
29/01/2022 null Transactie15 195.68
02/02/2022 9915 Transactie16 -463.75
02/03/2022 null Transactie17 78.02
02/04/2022 null Transactie18 268.81
02/05/2022 null Transactie19 1360.55
02/08/2022 null Transactie20 -594.46
02/09/2022 9125 Transactie21 467.39
02/10/2022 null Transactie22 39.49
02/11/2022 7929 Transactie23 -81.87
02/12/2022 null Transactie24 255.64
02/12/2022 null Transactie25 13.51
